step,episode,reward,learning_reward,cost,length
67588,370,2.289792690290381,1.0297926902903802,42.0,113
67624,371,1.6439567725644855,1.6439567725644855,0.0,36
68255,372,2.562681245929002,-6.8573187540709775,314.0,631
69040,373,3.1113271087089904,1.881327108708989,41.0,785
69096,374,1.9739370917357326,1.6739370917357324,10.0,56
69206,375,1.6518709882328149,1.6218709882328146,1.0,110
69265,376,2.2641554787539113,1.9341554787539113,11.0,59
69316,377,1.3485676275883596,1.3485676275883596,0.0,51
69445,378,1.829183706616211,1.829183706616211,0.0,129
69532,379,3.2377479434347656,3.2377479434347656,0.0,87
69616,380,2.0735264182012423,1.5635264182012416,17.0,84
70616,381,-22.448679349203648,-22.448679349203648,0.0,1000
70719,382,3.510377894154485,3.0903778941544857,14.0,103
70817,383,1.354461086088808,1.354461086088808,0.0,98
70933,384,1.7657031793582916,1.6457031793582915,4.0,116
71047,385,1.7982565636302232,0.8682565636302226,31.0,114
71081,386,1.310489341980539,1.310489341980539,0.0,34
71191,387,2.3221850149865446,1.9321850149865443,13.0,110
71402,388,2.9840549765030566,2.6240549765030567,12.0,211
71471,389,1.8347930937615962,1.8047930937615961,1.0,69
71520,390,2.0613021212885116,2.0313021212885114,1.0,49
71605,391,2.7292188066407617,2.7292188066407617,0.0,85
71745,392,2.43034582381889,2.31034582381889,4.0,140
71784,393,1.6939321112057706,1.6939321112057706,0.0,39
71936,394,3.2565468526804056,2.146546852680406,37.0,152
72088,395,2.2619730576924733,2.2619730576924733,0.0,152
72198,396,3.5999406726152223,3.5099406726152225,3.0,110
72352,397,2.854611405751403,1.6846114057514034,39.0,154
72503,398,2.637913967438541,2.5479139674385407,3.0,151
72626,399,1.703048095326667,1.6730480953266669,1.0,123
72739,400,2.900675561269056,2.900675561269056,0.0,113
72861,401,2.0240533078852962,2.0240533078852962,0.0,122
73861,402,0.5042480288265982,-3.4557519711734033,132.0,1000
73908,403,1.9435632954790516,1.9435632954790516,0.0,47
74062,404,2.9768841048907593,2.316884104890759,22.0,154
74094,405,1.4446834182525754,1.4146834182525754,1.0,32
74135,406,1.7274138775575258,1.7274138775575258,0.0,41
75135,407,0.46654918599704587,-15.553450814002952,534.0,1000
75246,408,3.6179135362816006,2.9279135362816,23.0,111
75378,409,1.970907929246819,1.970907929246819,0.0,132
75597,410,2.9396326601941896,2.3096326601941897,21.0,219
75700,411,1.5396424282677639,1.4796424282677638,2.0,103
75790,412,2.245274719291653,2.245274719291653,0.0,90
75842,413,2.024279799996572,1.6942797999965715,11.0,52
75995,414,2.47960079594254,2.2396007959425397,8.0,153
76151,415,2.2782646531431396,1.0782646531431395,40.0,156
76213,416,2.1450547768980828,2.1450547768980828,0.0,62
76293,417,2.2573426924008695,2.2573426924008695,0.0,80
76363,418,1.4990430487406057,1.4990430487406057,0.0,70
76441,419,2.253052847483498,2.1930528474834974,2.0,78
76563,420,1.6383808144874101,1.6383808144874101,0.0,122
76618,421,2.22481434127853,2.1648143412785297,2.0,55
76707,422,3.1523206224360387,2.6723206224360383,16.0,89
76853,423,2.904992374107904,2.7549923741079034,5.0,146
77008,424,2.6773149206942795,2.6773149206942795,0.0,155
77094,425,1.8970170528826067,1.8970170528826067,0.0,86
77148,426,2.193284880603546,1.9532848806035454,8.0,54
77235,427,1.9978657771304829,1.607865777130483,13.0,87
77331,428,1.609248520573505,0.3792485205735048,41.0,96
77365,429,1.5403929750221148,1.5403929750221148,0.0,34
77523,430,2.9383928549108194,2.5483928549108192,13.0,158
77662,431,2.2295339570060855,2.2295339570060855,0.0,139
77747,432,3.1300994715086086,3.1300994715086086,0.0,85
77817,433,1.9247789949737555,1.7147789949737553,7.0,70
77887,434,2.589716787303135,2.1097167873031344,16.0,70
78029,435,1.9899291690374734,1.9899291690374734,0.0,142
78276,436,1.907410071852052,-0.0725899281479494,66.0,247
78404,437,2.1102962420616223,2.020296242061622,3.0,128
78678,438,2.4390550999002345,0.249055099900233,73.0,274
78814,439,2.5027053373076678,2.412705337307667,3.0,136
78897,440,3.126968983732694,3.126968983732694,0.0,83
78995,441,3.2493532348427996,3.039353234842799,7.0,98
79086,442,2.280194553503632,1.8901945535036322,13.0,91
79177,443,3.3672496827548777,3.307249682754878,2.0,91
79280,444,2.8383732102090296,2.148373210209029,23.0,103
79360,445,3.066894536253571,2.6768945362535717,13.0,80
80360,446,1.6585441948155837,-14.271455805184393,531.0,1000
80730,447,2.826957518136134,2.796957518136134,1.0,370
80815,448,3.1446579402222823,3.114657940222283,1.0,85
80930,449,1.9658576946212563,1.9658576946212563,0.0,115
81081,450,3.378836178811838,2.808836178811838,19.0,151
81188,451,1.6794912213190791,0.7194912213190787,32.0,107
81215,452,1.3047918538126804,1.3047918538126804,0.0,27
81350,453,1.4319323275459088,0.5919323275459087,28.0,135
81498,454,2.210422095262631,2.1504220952626305,2.0,148
81602,455,2.033987167594719,1.763987167594719,9.0,104
81760,456,2.617989556615747,1.1779895566157468,48.0,158
81850,457,2.337066140470789,2.337066140470789,0.0,90
81952,458,3.3018733583491455,3.0918733583491456,7.0,102
82061,459,2.2343858008373783,1.784385800837378,15.0,109
82131,460,2.5747821059153955,2.4847821059153956,3.0,70
82196,461,2.0084681022340205,1.6484681022340204,12.0,65
82323,462,1.4226257774152689,-0.04737422258473134,49.0,127
82475,463,2.1961962131674984,2.1961962131674984,0.0,152
82567,464,2.673706218024021,2.343706218024022,11.0,92
82643,465,2.707920535744857,2.377920535744858,11.0,76
82714,466,2.4185770268345825,2.4185770268345825,0.0,71
83246,467,3.037366756546662,1.8973667565466623,38.0,532
83402,468,1.7611191595322908,1.7311191595322908,1.0,156
83471,469,1.370511087672908,1.370511087672908,0.0,69
83517,470,1.8705692569545311,1.8705692569545311,0.0,46
83598,471,2.9297629855617138,2.6297629855617135,10.0,81
84598,472,-0.16350725003613853,-0.16350725003613853,0.0,1000
84638,473,1.7423523899092297,1.5623523899092295,6.0,40
84799,474,3.2710585292978234,3.0610585292978225,7.0,161
84834,475,1.5623328199864823,1.5623328199864823,0.0,35
84904,476,2.642991348480858,1.8629913484808567,26.0,70
85124,477,2.558786668819807,1.808786668819806,25.0,220
85192,478,2.6715622100133296,2.6715622100133296,0.0,68
86192,479,0.06809555445605131,0.06809555445605131,0.0,1000
86292,480,2.2280151030881834,1.328015103088183,30.0,100
86347,481,2.1972437083123832,1.8072437083123833,13.0,55
86372,482,1.3078362919523867,1.3078362919523867,0.0,25
86427,483,2.253805945391557,2.193805945391557,2.0,55
86554,484,1.8967924140865642,1.506792414086564,13.0,127
87393,485,2.7538634739563137,2.393863473956314,12.0,839
87463,486,2.5149829888390367,2.484982988839037,1.0,70
87545,487,2.387353495860686,2.2373534958606855,5.0,82
87584,488,1.7495543400607514,1.7495543400607514,0.0,39
